,Algorithm,Num_Terminals,Wirelength,Num Steiner Points,CPU Time
1014,flute,73.0,66694.0,71.0,0.002981
1015,flute,44.0,53076.0,42.0,0.001106
1016,flute,82.0,68657.0,80.0,0.002571
1017,flute,54.0,56746.0,52.0,0.00084
1018,flute,77.0,67680.0,75.0,0.005307
1019,flute,104.0,76463.0,102.0,0.00603
1020,flute,92.0,70492.0,90.0,0.004896
1021,flute,107.0,76354.0,105.0,0.006863
1022,flute,30.0,38433.0,28.0,0.001001
1023,flute,71.0,61766.0,69.0,0.002131
1024,flute,56.0,52801.0,54.0,0.001393
1025,flute,22.0,32175.0,20.0,0.000337
1026,flute,18.0,29701.0,16.0,9e-05
1027,flute,41.0,48022.0,39.0,0.00104
1028,flute,25.0,40663.0,23.0,0.000504
1029,flute,116.0,79910.0,114.0,0.009802
1030,flute,61.0,58068.0,59.0,0.002996
1031,flute,53.0,56325.0,51.0,0.001502
1032,flute,13.0,28329.0,11.0,3.5e-05
1033,flute,32.0,41267.0,30.0,0.000616
1034,flute,30.0,40162.0,28.0,0.000383
