,terminals,flute_wl,flute_nsps,flute_ct,geosteiner_wl,geosteiner_nsps,geosteiner_ct,cockayne_wl,cockayne_nsps,cockayne_ct
27794,12,32446.0,10.0,1.8e-05,32446.0,10.0,0.000288,32446.0,10.0,0.329743
27795,12,31412.0,10.0,2.1e-05,31412.0,10.0,0.000203,31412.0,10.0,0.318877
27796,12,20456.0,10.0,1.7e-05,20456.0,10.0,0.000234,20456.0,10.0,0.313105
27797,12,24449.0,10.0,2.2e-05,24449.0,10.0,0.000262,24449.0,10.0,0.320211
27798,12,26577.0,10.0,2.4e-05,26577.0,10.0,0.000117,26577.0,10.0,0.221494
27799,12,25329.0,10.0,2.2e-05,25329.0,10.0,0.000333,25329.0,10.0,0.353106
27800,12,16703.0,10.0,2.1e-05,16703.0,10.0,0.000372,16703.0,10.0,0.447685
27801,12,25271.0,10.0,1.7e-05,25271.0,10.0,0.000156,25271.0,10.0,0.319055
27802,12,29210.0,10.0,2e-05,29210.0,10.0,0.000254,29210.0,10.0,0.277285
27803,12,26788.0,10.0,1.8e-05,26788.0,10.0,0.000138,26788.0,10.0,0.283652
27804,12,25436.0,10.0,1.3e-05,25436.0,10.0,0.000175,25436.0,10.0,0.190013
27805,12,28661.0,10.0,1.8e-05,28661.0,10.0,0.0003,28661.0,10.0,0.348167
27806,12,23619.0,10.0,2e-05,23619.0,10.0,0.000271,23619.0,10.0,0.288972
27807,12,32093.0,10.0,2.1e-05,32093.0,10.0,0.000315,32093.0,10.0,0.389599
27808,12,29879.0,10.0,1.9e-05,29879.0,10.0,0.000287,29879.0,10.0,0.327141
27809,12,20425.0,10.0,1.8e-05,20425.0,10.0,0.000271,20425.0,10.0,0.25951
27810,12,29909.0,10.0,2e-05,29909.0,10.0,0.000519,29909.0,9.0,0.43622
27811,12,23381.0,10.0,2.1e-05,23381.0,10.0,0.000186,23381.0,10.0,0.363808
27812,12,23282.0,10.0,1.9e-05,23282.0,10.0,0.000206,23282.0,10.0,0.455096
27813,12,21657.0,10.0,1.6e-05,21657.0,10.0,0.000225,21657.0,10.0,0.236076
27814,12,21981.0,10.0,1.8e-05,21750.0,10.0,0.00022,21750.0,10.0,0.298848
27815,12,29552.0,10.0,2.1e-05,29552.0,10.0,0.000116,29552.0,10.0,0.364691
27816,12,24786.0,10.0,2.2e-05,24786.0,10.0,0.000185,24786.0,10.0,0.352479
27817,12,29149.0,10.0,2e-05,29149.0,10.0,0.000198,29149.0,10.0,0.266098
27818,12,30870.0,10.0,1.9e-05,30870.0,10.0,0.000212,30870.0,10.0,0.289665
27819,12,24838.0,10.0,1.7e-05,24838.0,10.0,0.000165,24838.0,10.0,0.291663
27820,12,19490.0,10.0,1.7e-05,19490.0,10.0,0.000373,19490.0,10.0,0.312633
27821,12,21614.0,10.0,1.3e-05,21614.0,10.0,0.000169,21614.0,10.0,0.309491
27822,12,24396.0,10.0,2.3e-05,24396.0,10.0,0.000261,24396.0,10.0,0.388837
27823,12,25155.0,10.0,1.6e-05,25155.0,10.0,0.000155,25155.0,10.0,0.326746
27824,12,28373.0,10.0,1.7e-05,28373.0,10.0,0.000245,28373.0,10.0,0.398052
27825,12,26426.0,10.0,1.7e-05,26426.0,10.0,0.000238,26426.0,10.0,0.366282
27826,12,23301.0,10.0,1.8e-05,23301.0,10.0,0.000226,23301.0,10.0,0.263066
27827,12,20695.0,10.0,1.4e-05,20695.0,10.0,0.000169,20695.0,10.0,0.244602
27828,12,25891.0,10.0,2.1e-05,25891.0,10.0,0.000183,25891.0,10.0,0.288505
27829,12,27625.0,10.0,2e-05,27502.0,10.0,0.000322,27502.0,10.0,0.407501
27830,12,22251.0,10.0,1.8e-05,22251.0,10.0,0.000123,22251.0,10.0,0.282292
27831,12,24756.0,10.0,1.7e-05,24654.0,10.0,0.000315,24654.0,10.0,0.374606
27832,12,24613.0,10.0,1.9e-05,24613.0,10.0,0.000252,24613.0,10.0,0.329273
27833,12,26439.0,10.0,1.7e-05,26439.0,10.0,0.000281,26439.0,11.0,0.303657
27834,12,22243.0,10.0,1.6e-05,22243.0,10.0,0.000285,22243.0,10.0,0.223673
27835,12,23544.0,10.0,1.9e-05,23544.0,10.0,0.000297,23544.0,10.0,0.367924
27836,12,26179.0,10.0,1.9e-05,26179.0,10.0,0.000268,26179.0,10.0,0.314412
27837,12,21945.0,10.0,1.9e-05,21945.0,10.0,0.000179,21945.0,10.0,0.332547
27838,12,24078.0,10.0,2e-05,24078.0,10.0,0.000293,24078.0,10.0,0.394665
27839,12,23895.0,10.0,1.5e-05,23895.0,10.0,0.000314,23895.0,11.0,0.280059
27840,12,27217.0,10.0,1.8e-05,27217.0,10.0,0.000178,27217.0,10.0,0.344404
27841,12,25913.0,10.0,1.7e-05,25913.0,10.0,0.000176,25913.0,10.0,0.251855
27842,12,25255.0,10.0,2e-05,25255.0,10.0,0.000405,25255.0,10.0,0.45059
27843,12,27054.0,10.0,2.2e-05,27054.0,10.0,0.00019,27054.0,10.0,0.2275
27844,12,20516.0,10.0,1.9e-05,20516.0,10.0,0.000308,20516.0,10.0,0.32527
27845,12,30485.0,10.0,3.5e-05,30485.0,10.0,0.000194,30485.0,10.0,0.381305
27846,12,30677.0,10.0,2e-05,30677.0,10.0,0.000244,30677.0,10.0,0.332508
27847,12,25857.0,10.0,1.9e-05,25857.0,10.0,0.00022,25857.0,10.0,0.255055
27848,12,22713.0,10.0,1.8e-05,22713.0,10.0,0.00026,22713.0,10.0,0.321192
27849,12,29013.0,10.0,2e-05,29013.0,10.0,0.000414,29013.0,10.0,0.352536
27850,12,24311.0,10.0,1.9e-05,24311.0,10.0,0.000161,24311.0,10.0,0.272517
27851,12,24257.0,10.0,1.4e-05,24257.0,10.0,0.000284,24257.0,10.0,0.213081
27852,12,28782.0,10.0,2e-05,28782.0,9.0,0.000152,28782.0,10.0,0.224597
27853,12,26726.0,10.0,1.5e-05,26726.0,10.0,0.000292,26726.0,10.0,0.256273
27854,12,25670.0,10.0,1.4e-05,25670.0,10.0,0.000218,25670.0,10.0,0.238332
27855,12,23813.0,10.0,2e-05,23813.0,10.0,0.000233,23813.0,10.0,0.350306
27856,12,23594.0,10.0,7.1e-05,23594.0,10.0,0.000209,23594.0,10.0,0.324288
27857,12,26845.0,10.0,1.9e-05,26845.0,10.0,0.000218,26845.0,10.0,0.367393
27858,12,29285.0,10.0,2.7e-05,29285.0,10.0,0.000242,29285.0,10.0,0.298188
27859,12,29642.0,10.0,2e-05,29642.0,10.0,0.000198,29642.0,10.0,0.301031
27860,12,25017.0,10.0,9e-06,25017.0,10.0,0.00027,25017.0,10.0,0.239798
